";""idencuesta"";""ola"";""version"";""muestra"";""sospechoso"";""r13_nredes"";""r13_sexo_01"";""r13_edad_01"";""r13_relacion_01"";""r13_tiempo_01"";""r13_barrio_01"";""r13_educ_01"";""r13_relig_01"";""r13_ideol_01"";""r13_contacto_01"";""r13_sexo_02"";""r13_edad_02"";""r13_relacion_02"";""r13_tiempo_02"";""r13_barrio_02"";""r13_educ_02"";""r13_relig_02"";""r13_ideol_02"";""r13_contacto_02"";""r13_sexo_03"";""r13_edad_03"";""r13_relacion_03"";""r13_tiempo_03"";""r13_barrio_03"";""r13_educ_03"";""r13_relig_03"";""r13_ideol_03"";""r13_contacto_03"";""r13_sexo_04"";""r13_edad_04"";""r13_relacion_04"";""r13_tiempo_04"";""r13_barrio_04"";""r13_educ_04"";""r13_relig_04"";""r13_ideol_04"";""r13_contacto_04"";""r13_sexo_05"";""r13_edad_05"";""r13_relacion_05"";""r13_tiempo_05"";""r13_barrio_05"";""r13_educ_05"";""r13_relig_05"";""r13_ideol_05"";""r13_contacto_05"";""r14"";""r15"";""r05_01"";""r05_02"";""r06"";""r07"";""r08"";""r09"";""r10"";""r11"";""r16"";""r17"";""r12_01"";""r12_02"";""r12_03"";""r12_04"";""r12_05"";""r12_06"";""r12_07"";""t01"";""t02_01"";""t02_02"";""t02_03"";""t02_04"";""t03_01"";""t03_02"";""t03_03"";""t03_04"";""t04_01"";""t04_02"";""t04_03"";""t04_04"";""t04_05"";""t04_06"";""t04_07"";""t05"";""t06_01"";""t06_02"";""t06_03"";""t06_04"";""t06_05"";""t06_06"";""t06_07"";""t06_08"";""t07_01"";""t07_02"";""t08"";""t09_01"";""t09_02"";""t09_03"";""t10"";""t11_01"";""t11_02"";""t11_03"";""t11_04"";""t12"";""t13_01"";""t13_02"";""t13_03"";""c01"";""c02"";""c03"";""c04"";""c05_01"";""c05_02"";""c05_03"";""c05_04"";""c05_05"";""c05_06"";""c05_07"";""c05_08"";""c05_09"";""c07_01"";""c07_02"";""c07_03"";""c07_04"";""c07_05"";""c07_06"";""c07_07"";""c07_08"";""c08_01"";""c08_02"";""c08_03"";""c08_04"";""c10_01"";""c10_02"";""c10_03"";""c13"";""c14_01"";""c14_02"";""c15"";""c16"";""c16_otro"";""c17"";""c17_otro"";""c36"";""c18_01"";""c18_12"";""c18_02"";""c18_03"";""c18_04"";""c18_05"";""c18_06"";""c18_07"";""c18_08"";""c18_09"";""c18_10"";""c18_11"";""c20"";""c20_otro"";""c21_01"";""c21_02"";""c21_03"";""c21_04"";""c21_05"";""c21_06"";""c21_07"";""c21_08"";""c21_09"";""c21_10"";""c21_11"";""c22"";""c23"";""c24"";""c25"";""c26"";""c27"";""c28"";""c29"";""c30"";""c32_01"";""c32_02"";""d01_01"";""d01_02"";""d01_03"";""d02_01"";""d02_02"";""d02_03"";""d03_01"";""d03_02"";""d04_01"";""d04_02"";""d05_01"";""d05_02"";""d05_03"";""d05_04"";""d06"";""d20"";""d21"";""d22"";""d23_01"";""d23_02"";""d23_03"";""d23_04"";""d23_05"";""f05_01"";""f05_02"";""f05_03"";""f05_04"";""f05_05"";""f05_06"";""f05_07"";""f05_08"";""f06_01"";""f06_02"";""s01"";""s02"";""s03"";""s11_01"";""s11_02"";""s11_03"";""s11_04"";""s11_05"";""s11_06"";""s11_07"";""s11_08"";""s11_09"";""s15"";""s16"";""s17"";""s18"";""s19_01"";""s19_01_fecha"";""s19_02"";""s19_02_fecha"";""s19_03"";""s19_03_fecha"";""s19_04"";""s19_04_fecha"";""s19_05"";""s19_05_fecha"";""s20"";""s21"";""s22_01"";""s22_02"";""s22_03"";""s22_04"";""s22_05"";""s22_06"";""s22_07"";""s22_08"";""s22_09"";""s22_10"";""s23_01"";""s23_02"";""s23_03"";""s23_04"";""s23_05"";""s24_01"";""s24_02"";""s24_03"";""s25_01"";""s25_02"";""s25_03"";""s25_04"";""s26_01"";""s26_02"";""s26_03"";""s26_04"";""s26_05"";""s26_06"";""s27"";""s28"";""s29"";""m0_sexo"";""m0_edad"";""m01"";""m02"";""m13"";""m14"";""m15"";""m16"";""m29"";""m30"";""m38"";""m38_otro"";""m39"";""m41"";""m46"";""m46_nhogar"";""m46_ocup_01"";""m46_educ_01"";""m46_ocup_02"";""m46_educ_02"";""m46_ocup_03"";""m46_educ_03"";""m46_ocup_04"";""m46_educ_04"";""m46_ocup_05"";""m46_educ_05"";""m46_ocup_06"";""m46_educ_06"";""m46_ocup_07"";""m46_educ_07"";""m46_ocup_08"";""m46_educ_08"";""m46_ocup_09"";""m46_educ_09"";""m46_ocup_10"";""m46_educ_10"";""m47_comuna"";""m47_pais"";""m48"";""m48_edad"";""m49"";""m50"";""m51_comuna"";""m51_pais"";""m52"";""m53"";""m53_otro"";""comuna"";""region"";""ponderador01"";""ponderador02"";""estrato"";""segmento"";""idencuestador"""
"1073;8101103;2;201710;1;0;3;1;83;3;5;2;5;1;-999;1;1;35;4;4;2;5;2;5;2;2;50;1;3;2;4;3;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;5;4;1;4;5;4;4;1;4;4;2;5;5;2;4;4;4;4;4;4;4;4;4;4;3;4;4;4;5;4;4;3;5;5;1;5;5;5;4;4;5;5;3;1;1;1;4;5;5;4;4;2;NA;NA;NA;4;2;2;2;1;1;1;1;1;1;1;1;1;3;1;3;3;3;3;3;3;1;1;1;1;4;1;1;4;1;1;4;15;"""";5;"""";10;2;4;4;4;4;4;4;4;4;4;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;4;3;4;4;4;5;6;7;2;1;2;1.2e+07;5e+05;6e+06;8e+05;2;4;3;4;4;3;4;4;6;4;4;5;5;1;1;1;2;1;1;1;1;2;2;3;3;4;1;1;1;1;1;1;1;1;1;1;6;2;7;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;4;3;4;3;3;4;4;4;2;2;1;2;2;2;3;3;2;2;3;3;5;5;3;5;5;5;3;2;1;1;51;9;1;-999;14;9e+05;2;-999;11;9;"""";NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;2;NA;3;""liceo enrrique molina"";8101;NA;2;10;"""";8101;8;0.339361399412155;0.42902997136116;3;383483;48"
"1074;8101104;2;201710;1;0;3;2;43;4;5;1;3;1;6;1;2;38;4;5;2;5;2;6;1;1;28;4;3;2;5;2;-999;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;1;NA;NA;3;3;4;3;1;-888;-888;3;4;4;4;4;4;1;1;1;1;2;1;2;2;1;1;1;2;3;1;1;1;4;4;3;2;4;4;4;4;2;2;3;1;3;1;4;1;3;1;3;2;NA;NA;NA;2;2;2;2;1;1;3;1;3;1;1;1;1;3;-888;2;2;2;3;3;3;1;1;1;1;4;4;4;3;2;2;10;-888;"""";-999;"""";-999;1;4;4;4;4;4;4;4;2;4;4;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;3;3;-888;3;4;4;4;6;6;1;1;2;-888;-888;3e+08;5e+05;3;4;3;4;3;3;3;3;4;3;4;5;5;1;2;1;1;1;1;1;1;4;4;2;2;3;1;1;1;1;1;1;1;1;1;0;1;5;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;1;3;1;4;1;4;4;4;2;1;3;1;1;1;3;3;1;-999;-999;-999;-888;4;-888;-888;-888;5;2;2;3;2;38;4;9;NA;NA;NA;NA;-999;5;2;"""";3;1;1;4;1;3;4;8;4;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;18;3;""liceo 3 lorenzo arenas"";8101;NA;2;10;"""";8101;8;1.01808416843414;0.847225606441498;3;383483;48"
"1075;8101107;2;201710;1;0;3;2;50;4;3;2;3;1;6;1;1;22;2;5;1;3;2;5;1;2;77;3;5;1;1;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;1;NA;NA;1;1;3;3;2;-888;-888;3;5;5;5;5;2;4;4;4;4;5;5;5;5;3;3;5;5;2;2;2;1;3;3;2;2;2;4;4;4;1;1;3;1;1;1;4;2;2;3;2;2;NA;NA;NA;1;2;2;1;1;1;2;1;1;1;2;2;2;3;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;12;15;"""";5;"""";10;1;1;1;4;5;3;5;3;4;4;4;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;3;1;3;4;4;1;1;3;1;1;1;-888;-888;-888;-888;3;3;3;5;2;1;2;2;-999;-999;-999;-999;-999;2;2;1;2;1;1;1;1;4;4;3;3;3;1;1;1;2;2;1;1;1;1;3;4;12;3;2;NA;2;NA;1;2013;2;NA;2;NA;5;NA;4;4;2;4;2;4;4;4;2;2;1;1;5;1;1;1;5;1;1;1;5;1;4;2;5;2;1;1;0;0;1;2;43;7;1;320000;NA;450000;2;450000;NA;1;"""";5;1;1;1;4;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;21;3;""Liceo experimental de ninas"";8101;NA;2;10;"""";8101;8;0.67872279882431;0.564817130565643;3;383483;5"
"1076;8101108;2;201710;1;0;2;2;50;4;4;1;3;2;6;1;1;43;4;5;1;3;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;1;NA;NA;3;3;4;-888;1;-999;-999;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;3;4;4;3;4;3;3;3;4;4;4;1;1;1;4;1;1;1;1;1;1;2;2;4;3;3;1;1;1;1;1;1;1;1;1;1;3;3;2;2;3;3;3;3;1;1;1;1;4;4;4;1;1;1;12;15;"""";5;"""";10;1;2;3;3;5;2;3;4;5;4;4;3;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;4;4;-888;1;4;4;4;6;-999;1;2;2;-888;-888;-888;-888;3;4;3;5;4;4;4;4;4;4;4;5;5;1;2;2;1;1;1;1;1;4;4;4;4;2;1;2;1;1;2;2;1;1;1;0;1;6;2;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;4;3;3;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;3;1;1;0;0;-888;1;70;4;5;NA;NA;NA;NA;-999;3;1;"""";7;2;1;2;5;2;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;2;NA;3;""san juaquin"";8101;NA;2;10;"""";8101;8;1.01808416843414;1.28708982467651;3;383483;48"
"1077;8101109;2;201710;1;0;2;1;15;2;5;2;1;2;6;1;1;62;3;5;2;3;2;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;1;1;1;NA;NA;3;1;3;3;1;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3;3;3;3;4;4;4;1;1;1;4;1;1;1;1;2;NA;NA;NA;5;3;3;3;1;4;4;2;1;1;2;2;2;3;3;3;3;3;3;3;3;1;1;1;1;4;4;4;5;1;1;11;15;"""";5;"""";10;2;2;3;2;3;3;5;4;5;3;2;2;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;-888;1;4;4;3;5;4;2;3;4;1e+06;270000;5e+05;270000;4;4;4;4;4;4;3;5;4;4;4;6;5;2;3;1;1;1;1;1;1;1;1;4;4;3;1;1;1;1;1;1;1;1;1;0;1;2;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;5;5;1;5;5;5;5;5;1;1;1;1;1;1;1;3;5;5;1;1;1;1;5;5;5;1;1;1;0;0;-888;1;38;5;1;280000;NA;450000;3;-888;5;1;"""";4;1;1;3;1;5;1;5;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;23;3;""liceo balmaceda"";8101;NA;2;10;"""";8101;8;0.67872279882431;0.858059942722321;3;383483;48"
"1078;8101111;2;201710;1;0;4;1;57;1;5;1;4;1;6;1;2;24;2;5;1;5;3;6;1;1;19;2;5;1;5;3;6;1;2;38;3;5;2;3;3;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;3;4;1;4;4;5;4;1;4;3;2;2;1;3;1;5;4;4;4;4;3;4;4;3;4;3;4;2;2;2;2;3;3;5;2;2;3;4;5;3;5;4;2;1;3;3;3;1;1;1;1;1;13;12;2;3;1;1;2;3;2;4;1;4;4;2;4;4;1;1;2;1;2;3;3;2;1;1;1;1;5;5;4;3;3;4;5;15;"""";5;"""";8;2;2;4;4;3;3;2;2;4;4;4;5;4;"""";4;3;3;3;2;2;4;4;3;3;4;1;1;1;1;3;3;3;1;1;4;4;4;3;6;4;2;2;1e+07;260000;1e+07;4e+05;4;5;5;5;4;3;5;2;7;5;8;10;4;1;1;1;1;1;1;1;1;2;3;4;4;3;2;2;2;2;1;1;1;1;1;2;4;3;4;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;5;1;2;3;3;4;1;3;4;1;1;2;2;1;5;5;1;2;2;3;3;2;3;4;3;1;1;0;0;3;2;43;9;1;1300000;NA;1800000;3;1700000;NA;9;"""";NA;2;1;4;1;5;6;9;4;6;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8110;NA;1;19;3;""liceo de ninas fizcal"";8101;NA;2;10;"""";8101;8;0.678722739219666;0.564817070960999;3;888987;42"
"1079;8101112;2;201710;1;0;4;2;30;2;5;1;5;1;6;1;1;75;1;5;1;1;1;6;1;2;51;2;5;2;3;1;6;2;1;40;2;5;1;5;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;NA;NA;4;2;4;2;1;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;2;4;4;2;2;5;5;3;2;4;4;3;4;4;2;4;2;2;3;3;1;3;4;3;1;1;1;2;NA;NA;NA;2;2;2;1;3;1;3;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;1;1;10;15;"""";5;"""";8;2;4;2;4;4;4;4;4;4;2;4;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;-888;4;4;3;3;4;4;5;5;7;2;2;2;2e+07;3e+05;1.5e+07;5e+05;5;5;3;3;1;-888;-888;-888;8;8;3;6;6;4;4;1;1;1;4;1;1;4;4;4;2;2;1;2;2;2;2;2;1;1;1;1;3;1;1;1;2012;1;2014;2;NA;2;NA;2;NA;5;NA;4;4;2;4;4;4;3;4;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;0;0;3;2;74;3;5;NA;NA;NA;NA;2e+05;NA;1;"""";6;1;1;3;5;3;1;9;9;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;23;3;""escuela 14"";8101;NA;2;10;"""";8101;8;0.678722739219666;0.564817070960999;3;888987;42"
"1080;8101113;2;201710;1;0;5;1;45;2;5;1;4;3;6;1;2;42;5;1;2;1;2;6;1;2;23;4;5;1;5;3;6;1;2;56;3;5;2;5;2;5;2;2;42;3;5;2;5;1;6;2;1;1;1;1;1;NA;NA;2;2;3;3;1;4;4;2;2;4;4;4;5;5;5;5;5;5;5;5;5;4;4;4;4;2;1;1;3;5;5;5;5;5;5;5;5;5;5;5;1;1;1;5;1;1;1;1;1;1;2;3;1;2;2;1;3;1;1;1;1;1;1;3;1;3;3;3;2;2;3;3;3;4;3;1;1;5;5;5;5;5;5;0;2;"""";2;"""";1;2;2;5;5;4;4;4;4;3;2;2;4;7;"""";5;5;5;4;4;3;4;4;4;3;4;4;4;4;1;4;4;4;3;4;4;4;6;6;10;2;2;4;5e+07;270000;3e+06;5e+05;5;5;5;4;3;2;1;5;5;3;3;10;5;3;4;1;1;1;1;1;1;5;5;5;2;3;1;1;2;2;1;1;1;1;1;0;3;1;3;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;2;4;1;4;1;5;1;4;2;4;1;3;3;2;1;1;1;1;2;2;2;2;3;5;2;5;1;1;0;0;5;2;73;5;5;NA;NA;NA;NA;7e+05;NA;2;"""";5;1;1;1;1;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9203;NA;1;27;2;""escuela consolidada"";9203;NA;1;10;"""";8101;8;0.452481865882874;0.376544743776321;3;888987;42"
"1081;8101114;2;201710;1;0;5;1;27;2;5;2;3;1;6;1;2;45;3;5;1;4;2;6;1;1;98;3;5;2;1;1;6;1;1;52;3;5;2;3;1;6;2;2;44;3;5;2;3;1;6;2;1;2;1;1;1;NA;NA;1;2;4;2;2;3;3;4;4;4;4;4;1;4;2;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;2;4;4;4;4;2;2;3;2;2;2;4;3;1;1;1;2;NA;NA;NA;3;2;2;1;2;2;4;2;4;2;2;2;3;3;1;3;1;3;1;2;2;1;1;1;1;4;4;4;2;2;4;5;8;"""";3;"""";1;4;2;4;4;4;2;4;4;4;2;2;5;2;"""";4;4;4;4;4;2;4;4;5;2;4;1;1;2;1;2;5;4;3;3;4;4;4;3;5;2;2;2;1e+07;3e+05;8e+06;450000;5;5;5;5;2;4;4;2;1;5;4;9;9;3;1;1;1;1;3;1;1;5;5;3;2;3;2;1;2;2;1;1;1;1;1;1;1;7;2;1;2015;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;2;4;4;4;4;4;2;2;1;2;1;2;1;5;5;1;1;1;1;1;4;4;2;4;2;2;1;0;1;1;71;5;5;NA;NA;NA;NA;350000;NA;1;"""";5;1;1;3;5;3;1;5;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8407;NA;1;33;1;""claudio matte"";8110;NA;2;10;"""";8101;8;0.678722739219666;0.858059823513031;3;888987;42"
"1082;8101115;2;201710;1;0;4;1;44;4;2;2;4;1;6;2;2;42;1;5;1;3;5;3;1;1;30;4;2;2;5;1;6;2;2;10;2;5;1;1;5;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;1;1;2;4;1;1;1;1;1;1;2;2;4;4;3;3;3;1;1;1;1;1;2;2;2;2;4;4;4;2;4;2;2;4;1;4;4;4;2;2;4;2;4;4;3;2;2;4;1;1;4;3;3;2;NA;NA;NA;1;2;2;1;1;1;2;1;1;2;1;1;1;1;1;2;1;1;3;3;2;1;1;1;1;2;2;2;2;1;2;3;6;"""";5;"""";9;4;4;2;2;5;5;5;5;3;4;2;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;5;1;1;4;4;6;4;8;3;4;4;3500000;3e+05;3500000;3e+05;5;5;5;5;5;2;2;5;9;2;9;9;-888;4;1;1;4;1;1;1;1;5;5;3;4;3;4;4;4;4;4;2;2;3;3;2;1;1;4;2;NA;2;NA;1;2014;2;NA;2;NA;5;NA;5;5;1;4;1;3;5;5;1;5;3;1;4;5;1;5;1;1;1;1;1;1;3;2;3;4;2;2;0;1;1;1;43;7;1;950000;NA;1200000;3;950000;NA;6;""Mormon"";4;1;1;4;7;5;4;2;4;2;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;28;3;""juan martinez de rozas"";8101;NA;2;10;"""";8101;8;0.452481865882874;0.57203996181488;3;888987;42"
"1083;8101116;2;201710;1;0;4;2;52;2;5;1;5;2;5;1;2;32;3;5;1;5;2;5;1;2;23;3;5;1;3;2;5;1;1;52;4;5;2;1;1;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;1;1;NA;NA;1;1;1;1;1;3;3;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;3;4;3;2;2;4;3;5;5;5;5;5;5;5;5;4;4;5;1;3;1;5;1;3;1;1;1;1;3;5;4;2;2;2;4;1;4;1;1;1;1;4;1;1;2;3;2;2;2;1;3;3;3;1;1;4;4;4;2;2;3;1;12;"""";1;"""";2;2;4;2;4;4;4;4;4;4;2;2;5;1;"""";4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;2;3;4;1;2;4;4;5;5;5;2;2;4;8e+06;350000;5e+06;5e+05;5;5;3;5;1;4;3;5;1;1;1;-888;6;1;1;3;1;1;3;3;3;4;4;4;4;3;1;1;1;1;1;1;1;1;1;0;2;8;1;1;2015;2;NA;2;NA;2;NA;2;NA;5;NA;4;4;2;4;2;4;4;4;2;2;1;1;5;4;1;1;1;1;1;1;5;1;1;5;1;3;4;1;2;0;3;1;77;3;5;NA;NA;NA;NA;250000;NA;1;"""";2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8401;NA;1;26;3;""escuela 14"";8401;NA;2;10;"""";8101;8;0.226240932941437;0.28601998090744;3;888987;42"
"1084;8101117;2;201710;1;0;3;1;81;1;5;1;1;3;6;1;2;46;2;5;1;3;1;6;1;1;47;2;5;2;1;1;6;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;NA;NA;3;2;3;2;1;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;3;4;4;4;4;4;4;4;2;4;4;4;1;2;1;4;1;1;1;1;1;1;3;7;1;2;2;1;2;2;2;1;2;2;3;2;2;3;3;3;1;2;1;1;1;1;1;1;1;4;4;4;1;2;3;12;15;"""";5;"""";8;2;2;4;4;4;4;4;4;4;2;2;4;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;4;1;1;4;4;5;1;6;2;4;2;3e+06;275000;2e+06;4e+05;5;5;3;5;5;1;1;5;9;9;9;9;9;4;3;1;1;1;3;1;1;4;4;3;2;2;1;3;2;2;1;2;1;1;1;1;1;15;1;1;2010;1;2015;2;NA;2;NA;1;2010;5;NA;4;4;3;4;3;4;4;4;4;2;1;1;4;1;1;1;1;1;1;1;1;1;1;5;1;3;1;1;1;0;1;2;72;2;5;NA;NA;NA;NA;2e+05;NA;2;"""";2;1;1;2;5;2;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8301;NA;1;22;6;""eecuela chacayal"";8301;NA;2;10;"""";8101;8;0.452481865882874;0.376544743776321;3;888987;42"
"1085;8101118;2;201710;1;0;4;2;20;2;5;1;5;3;6;1;1;55;1;5;1;3;1;6;1;1;46;4;4;2;5;1;4;1;2;37;4;5;2;5;2;6;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;3;4;2;4;3;4;2;3;4;4;2;2;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;5;3;4;4;4;2;4;4;4;4;4;4;4;1;1;1;4;4;1;1;2;1;5;6;1;1;2;2;2;1;1;2;3;2;2;1;1;1;2;1;3;1;3;1;3;3;1;3;1;3;4;4;4;1;2;4;1;2;"""";5;"""";3;1;1;4;5;2;2;2;2;4;2;2;5;2;"""";4;4;3;4;4;3;3;4;4;3;3;3;3;2;1;2;5;1;3;3;4;4;7;3;10;1;1;1;1.2e+07;260000;4e+06;350000;5;5;2;3;4;2;2;4;5;4;4;4;5;2;1;1;1;1;3;1;1;5;5;5;5;3;1;1;1;2;1;1;1;1;1;2;4;1;4;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;5;1;5;1;4;1;5;1;4;2;4;5;2;1;5;5;1;1;1;1;3;1;5;3;2;4;1;2;0;1;2;45;8;1;450000;NA;7e+05;2;7e+05;NA;2;"""";7;1;1;2;1;5;4;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;25;3;""liceo tecnica femenina A29"";8101;NA;1;10;"""";8101;8;0.452481865882874;0.376544743776321;3;888987;42"
"1086;8101125;2;201710;1;0;4;1;55;3;5;1;4;2;1;1;2;46;3;5;1;4;2;1;1;1;28;4;2;2;4;2;4;1;1;25;4;3;2;4;2;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;1;1;1;NA;NA;3;5;4;5;1;5;5;2;5;5;5;5;2;2;4;4;3;5;5;5;5;5;5;5;5;3;5;5;3;2;5;5;5;5;5;5;5;5;5;5;2;4;2;3;2;1;1;1;1;12;11;13;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;3;2;2;2;3;1;1;1;1;3;5;5;5;4;3;3;10;11;"""";1;"""";2;2;2;3;4;5;4;4;3;4;1;4;5;9;"""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;-888;-888;1;1;5;5;5;5;7;1;1;1;4e+06;275000;2e+06;350000;1;5;4;5;2;2;4;1;1;1;1;6;3;5;3;1;1;1;1;1;1;5;5;4;4;5;1;1;1;1;1;1;1;1;1;0;1;1;2;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;4;5;2;5;2;5;4;5;2;5;1;1;5;2;1;5;5;1;2;2;5;2;5;5;2;4;5;1;1;0;4;1;25;7;4;NA;NA;NA;NA;20000;NA;2;"""";1;2;1;2;1;7;1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5109;NA;2;NA;3;""Crecic"";8101;NA;2;10;"""";8101;8;1.81678330898285;2.2968270778656;3;619154;114"
"1087;8101127;2;201710;1;0;5;2;27;5;2;2;5;1;4;1;2;25;5;3;2;5;1;1;1;1;12;2;5;1;1;3;4;1;1;41;1;5;1;5;1;4;1;2;32;5;3;2;5;2;4;1;2;3;1;1;1;NA;NA;3;2;4;3;2;3;3;2;2;4;3;5;4;4;4;4;4;4;4;4;4;3;2;2;2;2;2;2;1;4;4;4;4;4;5;5;5;5;5;5;1;3;1;3;1;1;1;1;1;7;11;2;2;2;3;1;2;1;3;3;3;2;1;2;2;2;2;3;1;3;3;3;3;3;3;3;4;5;4;4;5;5;5;3;6;"""";2;"""";8;5;1;3;2;3;4;2;2;4;2;2;4;6;"""";4;4;4;4;4;3;4;4;2;3;2;3;4;1;1;2;5;5;3;5;4;4;5;4;10;4;4;4;1.5e+07;267000;1.5e+07;267000;2;5;5;5;3;2;5;2;3;5;2;10;1;5;1;1;2;1;2;1;1;5;5;4;4;3;1;1;1;1;1;1;1;1;1;2;1;2;4;2;NA;2;NA;2;NA;2;NA;2;NA;5;NA;2;5;2;4;2;5;3;4;1;4;1;2;3;3;2;5;5;1;1;1;1;1;1;3;5;2;2;2;0;0;5;2;44;9;1;780000;NA;1e+06;4;1800000;NA;9;"""";NA;1;1;2;1;9;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8101;NA;1;24;3;""sagrado corazon"";8101;NA;2;10;"""";8101;8;1.206618309021;1.00411939620972;3;619154;42"
